Campus Hubs,bookmark,URL,Address,Description,Logo,Featured Text,Featured Link,Impact,Director Name (new),Other Point of Contact Name (new),Featured Photo,geometry,school_official,funding
LABScI,labscl,https://labsci.stanford.edu/,"443 Via Ortega, Stanford, CA 94305","Beginning in 2008, LABScI was developed as a joint effort between Prof. Andy Spakowitz’s Lab, along with Stanford undergraduate and graduate students from across STEM disciplines, and Kathy Ho’s classroom at the Lucile Packard Children’s Hospital (LPCH) School, a part of the Palo Alto Unified School District (PAUSD). LABScI’s original goal was to develop laboratory curriculum to help LPCH high school students fulfill their lab science graduation requirements with labs focused on physics, chemistry, and biology. Having met our original goals, our expanded mission is to develop a broader STEM-based laboratory curriculum for middle-school and high-school students in non-traditional educational environments such as hospital school classrooms, hospital bedsides, home schools, or other resource-limited settings. Some of the broader STEM areas being explored include engineering, computer science, archeology, climatology, and immunology. ",https://dl.airtable.com/.attachments/c94412759aaaf5be31fdada07656d565/b3c1660e/LabScI.png,Teach LABScI Video: Lego Immune System and the COVID vaccine,https://www.youtube.com/watch?v=rR0puXrcI60&t=128s,Education,<a href = 'https://profiles.stanford.edu/andrew-spakowitz' target='_blank'>Andrew Spakowitz</a>,Kathleen Amethyst Ho (kathy@leland.stanford.edu),NA,POINT (-122.1757 37.42909),School of Engineering,
"Health Leadership, Organization & Innovation Labs",hloil,https://med.stanford.edu/sarasinger.html,"Medical School Office Building, 1265 Welch Road, Stanford CA, 94305-6070 ","The Health Leadership Labs recognizes the need for more and better research, education, and initiatives that apply management approaches to solve problems in health care delivery and promote health. Organizations that deliver health and health care benefit from organizational approaches that promote evidence-based leadership and learning-, systems-, and team-oriented environments in which to deliver health services; operational approaches that optimize care delivery; and systems engineering approaches to inspire disciplined problem analysis, design, development, implementation, and evaluation of innovations. To address these issues, the Lab fosters collaboration among colleagues from across the University, including the Schools of Medicine, Graduate School of Business, Engineering, Law, and Humanities. Projects involving ‘living laboratories’ include the High Value Health Care Incubator with 3 federally qualified health centers in Humboldt County), Tech-enabled Future of Work with Stanford Health Care, and Engineering High Reliability Learning Lab with 3 Harvard-affiliated health systems.",NA,We convened 40 thought leaders in the Tech-Enabled Health Workshop to discuss ways in which tech sector companies currently impact health and social well-being and to craft a research and educational agenda that will inform and motivate unleashing potential for the tech sector to promote a culture of health. We identified opportunities that can form the basis of Stanford-based initiatives aiming to promote health as a business imperative for the technology sector.,https://med.stanford.edu/sarasinger/research/COH_main.html,"Education, Health",<a href = 'https://profiles.stanford.edu/sara-singer' target='_blank'>Sara Singer</a>,NA,NA,POINT (-122.1792 37.43198),Stanford Medicine,
Center for Innovation in Global Health,cigh,https://globalhealth.stanford.edu/,"291 Campus Drive, Li Ka Shing Building, Stanford, CA 94305-5101","The Center for Innovation in Global Health (CIGH) strives to enable collaborative programs in global health for residents, medical students, graduate students, postdoctoral fellows, and undergraduates by reaching across geographic, cultural, economic, and gender boundaries to inspire a new generation of global health leaders. CIGH creates partnered programs that build capacity both overseas and in the United States in underserved, low resource communities.",https://dl.airtable.com/.attachments/d44fb63b7581976cc61d8494c914aa1b/2157d5da/CenterforInnovationinGlobalHealth.png,Programs in Building Community & Stanford Global Health Projects Map,https://globalhealth.stanford.edu/pc/building-community/,"Health, Equity or Socioeconomic Issues, Environment and Sustainability, Education",<a href = 'https://profiles.stanford.edu/michele-barry' target='_blank'>Michele Barry MD FACP</a>,Allison Phillips (ap10@stanford.edu),NA,POINT (-122.1758 37.43182),Stanford Medicine,
Stanford-Sequoia K-12 Research Collaborative,sequoia,https://ed.stanford.edu/about/partnerships,"485 Lasuen Mall, Stanford, CA, 94305-3096","The Stanford-Sequoia K-12 Research Collaborative is a research practice partnership between the Stanford Graduate School of Education (GSE) and nine local school districts. It began in 2016 as an idea shared by Dan Schwartz, Dean of the Stanford Graduate School of Education (GSE), and Jim Lianides, former superintendent of the Sequoia Union High School District. Their idea was to create a long-standing, mutually beneficial partnership between the GSE and Sequoia Union and its 8 elementary feeder districts. The Stanford- Sequoia K-12 Research Collaborative was officially launched in the fall of 2017 when all nine local school districts agreed to partner on a set of research projects with Stanford GSE faculty. These projects all focus on equity issues, with most specifically addressing the performance of English learners.",https://dl.airtable.com/.attachments/8430f8ffdac31faee9318150bc6df2f8/20cb1c92/stanford-sequoia-white_writing-V3.png,"Why do some students whose primary language is not English struggle more than others to thrive in U.S. schools? What kinds of programs and policies could narrow the achievement gap between these students and their peers—and how can teachers who have very few English learners meet the needs of all of the students in their class?

To help answer these and other questions about the experience of English learners, Stanford Graduate School of Education (GSE) has launched a groundbreaking research partnership with nine neighboring school districts that collectively serve more than 30,000 students in kindergarten through high school.

The Stanford-Sequoia K-12 Research Collaborative connects GSE scholars with school leaders in southern San Mateo County to research challenges the districts are facing around educating English learners (ELs). ",https://ed.stanford.edu/news/stanford-launches-research-collaborative-nine-local-school-districts,Education,<a href = 'https://profiles.stanford.edu/daniel-schwartz' target='_blank'>Daniel Schwartz</a>,"Laura Wentworth (laura@caedpartners.org), Amy Gerstein  (gerstein@stanford.edu)",https://dl.airtable.com/.attachments/638810696ed3d3bfa57cbc18084b131e/1b98ea09/Stanford-SequoiaMap-5notitle.png,POINT (-122.1683 37.42632),Graduate School of Education,
The Stanford-SFUSD Partnership,sfusd,http://collaborate.caedpartners.org/display/stanfordsfusd/Welcome,"485 Lasuen Mall, Stanford, CA, 94305-3096","The Stanford University and San Francisco Unified School District (SFUSD) Partnership supports and promotes innovative, practical research, and engages practitioners, policy makers, and academics in a dialogue about research findings and implications for data driven decision-making. The partnership helps San Francisco acquire, interpret, and use Stanford research, and enables Stanford to learn from real world practices taking place in San Francisco’s schools, with the goal of advancing student achievement in San Francisco and beyond.

Graduate School of Education and SFUSD personnel participate in about 25 different Stanford research and practice projects. Since the the partnership formalized in 2009, the Stanford projects taking place in SFUSD have grown more and more aligned with the priorities of the school district. The partnership produces rich, rigorous research that addresses some of the most pressing problems for San Francisco schools and beyond!",https://dl.airtable.com/.attachments/3faf8b150fad06b57b232d4e6ab7f3aa/d50282b7/stanford-sfusd_transparent.png,Stanford University Graduate School of Education has committed to raise $5 million for a pair of new initiatives with the San Francisco Unified School District that will enable teachers and administrators to use research more effectively to meet students’ needs.,https://ed.stanford.edu/news/stanford-gse-pledges-5-million-partnership-san-francisco-schools,Education,<a href = 'https://profiles.stanford.edu/daniel-schwartz' target='_blank'>Daniel Schwartz</a>,Laura Wentworth (laura@caedpartners.org),https://dl.airtable.com/.attachments/697dc6139d5eedd4c900fba6bf160281/8872268e/CopyofPoster5_Web011916.jpg,POINT (-122.1683 37.42632),Graduate School of Education,
PRIDEnet ,pridenet,https://pridestudy.org/,"3180 Porter Drive, Palo Alto, CA 94304","PRIDEnet is a national network of individuals and organizations that actively engage our community in every stage of how LGBTQ+ health research is created, analyzed, and shared from The PRIDE Study. The PRIDE Study is supported by the community engagement efforts of PRIDEnet, a national network of individuals and organizations that engage LGBTQ+ people in health research. The main question we want to answer is: how does being LGBTQ+ influence physical, mental, or social health? ",https://dl.airtable.com/.attachments/9ef7365968e175d077c40baacb959871/b31810e2/pridenet_logo_fullcolor_tag.jpg,Stanford researchers to improve LGBTQ+ health and representation,https://scopeblog.stanford.edu/2021/09/09/stanford-researchers-to-improve-lgbtq-health-and-representation/,"Equity or Socioeconomic Issues, Health, Identity & Human Rights","<a href = 'https://profiles.stanford.edu/juno-obedin-maliver' target='_blank'>Juno Obedin Maliver</a>, <a href = 'https://profiles.stanford.edu/lunn' target='_blank'>Mitchell R Lunn MD MAS FACP FASN</a>","Mitchell R Lunn MD MAS FACP FASN (lunn@stanford.edu), Juno Obedin Maliver (junoom@stanford.edu), Mahri Bahati (mbahati@stanford.edu), Daniel Joseph Moretti (dmoretti@stanford.edu)",https://dl.airtable.com/.attachments/7fbccbc674e35d83bffb551a3ec6e0f3/0906156c/Mitchell-Lunn-Juno-Obedin-Maliver.jpg,POINT (-122.1486 37.40722),Stanford Medicine,
The Stanford Institutes of Medicine Summer Research Program (SIMR),simr,https://simr.stanford.edu,"269 Campus Drive, CCSR-2215A, Stanford, CA 94305","The Stanford Institutes of Medicine Summer Research Program (SIMR) is an eight-week program in which high school students from diverse backgrounds are invited to perform basic research with Stanford faculty, postdoctoral fellows, students and researchers on a medically-oriented project. The goals of the program include increasing interest in biological sciences and medicine in high school students, helping students to understand how scientific research is performed, and increasing the diversity of students and researchers in the sciences, especially students from underrepresented or disadvantaged backgrounds.",https://dl.airtable.com/.attachments/61d7b55885eaee0baaa8c61f43d90aee/30afc2c2/TheStanfordInstitutesofMedicineSummerResearchProgramSIMR.png,Children's Hospital Oakland Research Institute (CHORI)/UCSF Summer Student Research Program- one of our partner institutes in the Bay Area ,https://summerstudents.ucsf.edu/about,Education,<a href = 'https://profiles.stanford.edu/paul-utz' target='_blank'>PJ Utz</a>,NA,NA,POINT (-122.1773 37.43238),Stanford Medicine,
Stanford Youth Diabetes Coaches Program,diabetes,https://med.stanford.edu/stanfordyouthcoaching/sydcyp-high-school-training-course.html,"Division of Primary Care and Population Health, Department of Medicine, Stanford University, School of Medicine, 211 Quarry Road, Palo Alto, CA 94304","The Stanford Youth Diabetes Coaches Program is an innovative model of health education. Medical residents and other health professionals partner with local underserved high schools and train high school students to coach their family members with diabetes or other chronic illnesses. Based on proven adult models, we developed a highly structured 8-week course to train adolescents to become chronic disease self-management coaches. The course focuses on communication skills and coaching skills with an emphasis on action planning and diabetes knowledge content including blood sugar monitoring, achieving and maintaining a healthy weight, planning healthy meals, stress reduction, physical activity and working with your health care provider. Although we know the program benefits the family members with chronic illness, our primary goal is to empower high school students who are at-risk of chronic disease with knowledge and skills to make healthy lifestyle choices. Our research has demonstrated that the program significantly increases participants’ health knowledge, patient activation levels, nutrition, self-esteem, self-worth, and problem solving skills. Over 90% of participants report making a lifestyle change because of program participation, and the majority of these lifestyle changes include better nutrition, increased physical activity, increased sleep, and stress reduction. Our research has also demonstrated that program participation for instructors significantly increases confidence to provide sensitive and culturally responsive care to diverse patient populations; increases understanding of the barriers to care that diverse populations face; and improves communication skills and ability to empower patients and families to participate in their own care. ",https://dl.airtable.com/.attachments/68efe621482fbc671ddf180b729b71f1/12fef5f0/StanfordYouthDiabetesCoachesProgramlogo.jpg,The power of the SYDCP to change lives,https://med.stanford.edu/stanfordyouthcoaching.html,"Health, Education",<a href = 'https://profiles.stanford.edu/nancy-morioka-douglas' target='_blank'>Nancy Morioka Douglas</a>,Liana Gefter (lgefter@stanford.edu),NA,POINT (-122.1686 37.44166),Stanford Medicine,
Partnerships for Research in Child Health ,prch,https://researchinchildhealth.org/,"Department of Pediatrics – Mail Code 5395
Stanford University School of Medicine
3145 Porter Drive Office F117, Palo Alto, CA 94304
",Our team uses a community-based participatory research (CBPR) approach to address child health disparities for low-income and minority communities. The majority of our work focuses on informing and evaluating policies and interventions that encourage children and families to adopt healthy behaviors to improve nutrition and reduce food insecurity. ,https://dl.airtable.com/.attachments/7e9787dc70395051c313ef6fd9300c06/e4f9baec/DepartmentofPediatrics.png,"""Reducing food insecurity for Latino children in California’s San Joaquin Valley

Food insecurity is associated with poor health and decreased learning for children, and the San Joaquin Valley has some of the highest rates of food insecurity statewide. 

Our team is working with Cultiva la Salud and Dolores Huerta Foundation, two community-based organizations serving Latino immigrant families in the San Joaquin Valley. The goal is to increase children’s access to healthy and appealing food. 

Faculty and trainees at Stanford, colleagues at the Nutrition Policy Institute, and staff from both community organizations have worked with parents in six school districts to identify barriers families face in accessing school meals during the COVID-19 pandemic. The team is building on this work to partner with community organizations, schools, and parents to investigate how school meals can be more effective in addressing food insecurity.""",https://news.stanford.edu/today/2021/08/25/faculty-scholars-service-advancing-solutions-social-issues/,Health,<a href = 'https://profiles.stanford.edu/anisha-patel' target='_blank'>Anisha I Patel</a>,NA,NA,POINT (-122.1509 37.409),Stanford Medicine,
Change Leadership for Sustainability Program,clsp,https://earth.stanford.edu/sust,"397 Panama Mall, Room 101
Stanford, CA 94305","The Change Leadership for Sustainability Program is a hub for advancing sustainability leadership in the world, accelerating our transition to a society that secures inclusive, intergenerational well-being",https://dl.airtable.com/.attachments/5e4de43bb99c9e437959c14579158f78/8443934c/ChangeLeadershipforSustainabilityProgram.png,"Special 5-day exec program for World Economic Forum, Young Global Leaders in Transformative Leadership for Resilience and Sustainability","https://earth.stanford.edu/news/key-goals-leaders-sustainability-and-intergenerational-well-being#gs.aqh7gk

Could also develop and add: Would like to develop a story about a student project that brought awareness on social/environmental justice to Storage.X at Stanford - re. mining for minerals for lithium ion batteries needed for electric cars ","Education, Equity or Socioeconomic Issues, Environment and Sustainability, Identity & Human Rights, Law, Policy, & Justice, Health","<a href = 'https://profiles.stanford.edu/Julia Novy-Hildesley' target='_blank'>Julia Novy Hildesley</a>, <a href = 'https://profiles.stanford.edu/pamela-matson' target='_blank'>Pamela Matson</a>",Ms Shelley Marie Ratay (sratay@stanford.edu),NA,POINT (-122.1726 37.42658),"School of Earth, Energy & Environmental Sciences",
Down Syndrome Research Center,dsrc,https://dsresearch.stanford.edu/,"371 Jane Stanford Way, Stanford, CA 94305","The goal of the Stanford Down Syndrome Research Center (SDSRC) is to become a Center of Excellence by: (a) creating a synergistic, cross-disciplinary research community and leveraging the academic excellence at Stanford University to support innovative, rigorous research that will lead to improvements in the lives of individuals with Down syndrome (DS); (b) providing high-quality, research-based resources to support individuals with DS, their family members, and educators to enhance outcomes in learning, health, inclusion in society, employment, independence, and life satisfaction; (c) offering training and education to students, staff, and faculty on current best practices; and (d) providing thought leadership to the global community.",https://dl.airtable.com/.attachments/5c88c359a35f965f679652c01d88d78d/9f457e10/Logo1jpeg.jpg,Super Fest on NFL Insiders,https://dsresearch.stanford.edu/community/video-library/super-fest-nfl-insiders,Health,"<a href = 'https://profiles.stanford.edu/h-craig-heller' target='_blank'>H Craig Heller</a>, <a href = 'https://profiles.stanford.edu/christopher-lemons' target='_blank'>Christopher J Lemons</a>",Jessamy Tang (jessamyt@stanford.edu),NA,POINT (-122.1724 37.43022),School of Humanities & Sciences,
nano@stanford,nano,https://nanolabs.stanford.edu/,"Spilker Engineering & Applied Sciences Building, 348 Via Pueblo
Stanford, CA 94305","Nano@stanford is a network of open-access facilities providing access to world-leading facilities and expertise in nanoscale science and engineering for internal users and for external users from academic, industrial, and government labs. The network includes the Stanford Nano Shared Facilities (SNSF), the Stanford Nanofabrication Facility (SNF), the Stanford Microchemical Analysis Facility (MAF) and the Stanford ICP-MS/TIMS Facility. nano @ stanford supports educators, students, researchers, and the public through tours, professional development programs, outreach programs, and beyond. We hope to develop and propagate a national model for educational practices that will help students and visitors become knowledgeable and proficient users of the nanofacilities.

nano @ stanford is part of the National Nanotechnology Coordinated Infrastructure (NNCI) funded by the National Science Foundation (NSF), supporting 16 user facility sites, their affiliated partners, and a coordinating office. NNCI embraces diversity and welcomes, recruits, educates, employs, serves, and engages a diverse group of users, students, faculty, and staff with a wide variety of backgrounds, perspectives, interests, and talents, creating a community of teachers, learners, and researchers that exemplifies the best in all of us – in our intellectual pursuits, our diversity of thought, our personal integrity, and our commitment to excellence.",https://dl.airtable.com/.attachments/c71b5d087a6e7880d15aae9b825f39be/ff8d6823/nanoblack-large.png,Supporting professional development for Bay Area teachers to teach multidisciplinary nanoscience concepts. We offer a four-day Nanoscience Summer Institute for Middle School Teachers (NanoSIMST) every summer. Selected teachers will learn the underlying physical concepts in nanotechnology and nanoscience in simple terms. This unique learning experience can enrich your current courses through both deepening content understanding and instructional practices.,https://nanolabs.stanford.edu/education-outreach/nanoscience-summer-institute-middle-school-teachers,"Education, Media and Technology",<a href = 'https://profiles.stanford.edu/debbie-senesky' target='_blank'>Debbie Senesky</a>,"Mary Tang (mtang@stanford.edu), Daniella Marie Duran (dmduran@leland.stanford.edu)",https://dl.airtable.com/.attachments/28c7da07cce851dea898a7b7e70e2eff/5e3346e8/NanoSIMSTFlyer.png,POINT (-122.174 37.42898),School of Engineering,2022
Stanford Criminal Justice Center,scjc,https://law.stanford.edu/stanford-criminal-justice-center-scjc/,"559 Nathan Abbott Way, Room 383, Stanford, CA 94305","Founded in 2005, the Stanford Criminal Justice Center (SCJC) serves as a research and policy institute on issues related to the criminal legal system. Our efforts are geared both towards generating policy research for the public sector, as well as providing pedagogical opportunities to Stanford Law School students with academic or careers in interests in criminal law and crime policy.",https://dl.airtable.com/.attachments/d6c7d9fabcb7f42da9febce78529ab44/775e267c/StanfordCriminalJusticeCenter.jpg,Renewing Communities through California Pathways from Corrections to College: The SCJC is partnering with The Opportunity Institute to direct a multi-year project aimed at expanding college opportunities for currently and formerly incarcerated students in California.,https://law.stanford.edu/projects/renewing-communities/,"Law, Policy, & Justice","<a href = 'https://profiles.stanford.edu/david-sklansky' target='_blank'>David Sklansky</a>, <a href = 'https://profiles.stanford.edu/robert-weisberg' target='_blank'>Robert Weisberg</a>",NA,NA,POINT (-122.1677 37.42394),School of Law,
Design for Extreme Affordability,extreme,https://extreme.stanford.edu/,"655 Knight Way, Stanford, CA 94305-3086","The Design for Extreme Affordability program [affectionately called Extreme] creates an environment where students learn to design products and services that address the needs of low resource communities. Using human centered design methods, students work with our partner organizations on real world problems. After the program, solutions create impact either through implementation by the partner, new student-led startups, or implementation through another appropriate organization.",https://dl.airtable.com/.attachments/174b16af9e3c27c962f3af36ecef3575/e6bbe17e/DesignforExtremeAffordability.jpg,See the Extreme 2021 class in action,https://www.extremeexpo.org ,"Education, Equity or Socioeconomic Issues, Other",<a href = 'https://extreme.stanford.edu/team/stuart-coulson/' target='_blank'>Stuart Coulson</a>,Koffi Bierhoff Korha (kkorha@stanford.edu),NA,POINT (-122.162 37.42855),"Graduate School of Business, School of Engineering",
